Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntIronBevelBookCaseInsecure,blocks,block,,,"Iron Storage Crate Insecure  [ddcdfa](144) - Cube Corner Beveled Bookcase Full",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste, unsicher  [ddcdfa](144) - Würfel – Ecke, abgeschrägt, Bücherregal – voll","Embalaje de almacenamiento de hierro no asegurado  [ddcdfa](144) - Esquina de cubo biselado de estantería llena","Caisse de rangement en fer non sécurisée  [ddcdfa](144) - Angle de cube, biseauté, bibliothèque pleine","Cassa di stoccaggio di ferro pericolante  [ddcdfa](144) - Angolo del cubo smussato con libreria piena","鉄製ストレージ　鍵無し  [ddcdfa](144) - キューブ（コーナー・斜角・ブックケース・満タン）","철제 보관함 잠기지 않음  [ddcdfa](144) - 육면체 모서리 경사 책장 꽉 참","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](144) - Sześcian – róg, faseta, regał na książki, pełny","Caixote inseguro de deposito de ferro  [ddcdfa](144) - Estante de livros cheia biselada de cubo de canto","Ненадежный железный складской ящик  [ddcdfa](144) - Куб с полным книжным шкафом, срезанный угол","Demir Depolama Sandığı, Korumasız  [ddcdfa](144) - Küp Köşe Pahlı Kitaplık, Dolu","不结实的铁储藏箱  [ddcdfa](144) - 方块 拐角 斜角 书架 完整","不安全的鐵儲藏箱  [ddcdfa](144) - 完整方塊角斜面書櫃"
cntIronBookCaseInsecure,blocks,block,,,"Iron Storage Crate Insecure  [ddcdfa](144) - Bookcase Full",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste, unsicher  [ddcdfa](144) - Bücherregal – voll","Embalaje de almacenamiento de hierro no asegurado  [ddcdfa](144) - Estantería llena","Caisse de rangement en fer non sécurisée  [ddcdfa](144) - Bibliothèque pleine","Cassa di stoccaggio di ferro pericolante  [ddcdfa](144) - Libreria piena","鉄製ストレージ　鍵無し  [ddcdfa](144) - ブックケース（満タン）","철제 보관함 잠기지 않음  [ddcdfa](144) - 책장 꽉참","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](144) - Regał na książki – pełny","Caixote inseguro de deposito de ferro  [ddcdfa](144) - Estante de livros cheia","Ненадежный железный складской ящик  [ddcdfa](144) - Полный книжный шкаф","Demir Depolama Sandığı, Korumasız  [ddcdfa](144) - Kitaplık Dolu","不结实的铁储藏箱  [ddcdfa](144) - 书架 完整","不安全的鐵儲藏箱  [ddcdfa](144) - 滿書櫃"
cntIronMorticianDrawerInsecure,blocks,block,,,"Iron Storage Crate Insecure  [ddcdfa](144) - Mortician Drawer",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste, unsicher  [ddcdfa](144) - Leichenbestatter-Schublade","Embalaje de almacenamiento de hierro no asegurado  [ddcdfa](144) - Cajón del funerario","Caisse de rangement en fer non sécurisée  [ddcdfa](144) - Tiroir croque-mort","Cassa di stoccaggio di ferro pericolante  [ddcdfa](144) - Cassetto del becchino","鉄製ストレージ　鍵無し  [ddcdfa](144) - 葬儀屋の引き出し","철제 보관함 잠기지 않음  [ddcdfa](144) - 장의사용 서랍","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](144) - Szuflada kostnicy","Caixote inseguro de deposito de ferro  [ddcdfa](144) - Gaveta de agente funerário","Ненадежный железный складской ящик  [ddcdfa](144) - Ящик гробовщика","Demir Depolama Sandığı, Korumasız  [ddcdfa](144) - Morg Çekmecesi","不结实的铁储藏箱  [ddcdfa](144) - 殡葬业者抽屉","不安全的鐵儲藏箱  [ddcdfa](144) - 送葬者抽屜"
cntSteelCubeInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Cube",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Würfel","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Cubo","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Cube","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Cubo","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - キューブ","강철 보관함 잠기지 않음  [ddcdfa](168) - 육면체","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Sześcian","Caixote inseguro de deposito de aço  [ddcdfa](168) - Cubo","Ненадежный стальной складской ящик  [ddcdfa](168) - Куб","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Küp","不结实的钢储藏箱  [ddcdfa](168) - 方块","不安全的鋼儲藏箱  [ddcdfa](168) - 方塊"
cntSteelHalfInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Cube Half",n/a  [ddcdfa](168) - ,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - 1/2-Würfel","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - 1/2 cubo","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - 1/2 cube","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - 1/2 cubo","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - キューブ1/2","강철 보관함 잠기지 않음  [ddcdfa](168) - 육면체 1/2","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Sześcian 1/2","Caixote inseguro de deposito de aço  [ddcdfa](168) - 1/2 cubo","Ненадежный стальной складской ящик  [ddcdfa](168) - Куб 1/2","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Küp 1/2","不结实的钢储藏箱  [ddcdfa](168) - 方块 1/2","不安全的鋼儲藏箱  [ddcdfa](168) - 1/2 方塊"
cntSteelBevelInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Cupboard Corner",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Schrank – Ecke","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Esquina de despensa","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Coin de placard","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Credenza angolare","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - カップボード（コーナー）","강철 보관함 잠기지 않음  [ddcdfa](168) - 찬장 모서리","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Kredens – róg","Caixote inseguro de deposito de aço  [ddcdfa](168) - Canto de guarda-louça","Ненадежный стальной складской ящик  [ddcdfa](168) - Угловой буфет","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Büfe Köşe","不结实的钢储藏箱  [ddcdfa](168) - 碗柜 拐角","不安全的鋼儲藏箱  [ddcdfa](168) - 碗櫥轉角"
cntSteelBuffetInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Buffet Counter",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Buffet-Theke","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Mostrador de bufet","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Comptoir de buffet","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Banco del buffet","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - ブッフェ（カウンター）","강철 보관함 잠기지 않음  [ddcdfa](168) - 뷔페 카운터","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Lada bufetowa","Caixote inseguro de deposito de aço  [ddcdfa](168) - Balcão de bufê","Ненадежный стальной складской ящик  [ddcdfa](168) - Стойка буфета","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Açık Büfe Tezgâhı","不结实的钢储藏箱  [ddcdfa](168) - 自助餐柜台","不安全的鋼儲藏箱  [ddcdfa](168) - 自助餐櫃檯"
cntSteelSinkRoundInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Counter Sink Hole Round",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Eingelassenes Waschbecken – rundes Loch","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Fregadero de encimera con hoyo redondo","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Évier de comptoir, trou rond","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Lavandino con bancone arrotondato con foro","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - カウンター（シンク・穴・丸型）","강철 보관함 잠기지 않음  [ddcdfa](168) - 카운터 싱크대 구멍 원형","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Lada – zlew, dziura, okrągła","Caixote inseguro de deposito de aço  [ddcdfa](168) - Buraco de pia de balcão redondo","Ненадежный стальной складской ящик  [ddcdfa](168) - Основание для мойки с круглым отверстием","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Tezgah Eviye Deliği Yuvarlak","不结实的钢储藏箱  [ddcdfa](168) - 柜台 水槽 有洞 圆弧","不安全的鋼儲藏箱  [ddcdfa](168) - 櫃檯盥洗盆圓孔"
cntSteelHollowTopInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Counter Hollow Top",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Theke – hohl, oben","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Parte superior de encimera hueca","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Comptoir creux, haut","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Parte superiore vuota del banco","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - カウンター（中空・上部）","강철 보관함 잠기지 않음  [ddcdfa](168) - 카운터 비어있음 상단","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Lada – pusta, góra","Caixote inseguro de deposito de aço  [ddcdfa](168) - Topo oco de balcão","Ненадежный стальной складской ящик  [ddcdfa](168) - Верх пустой стойки","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Tezgâh Oyuk Üst","不结实的钢储藏箱  [ddcdfa](168) - 柜台 中空 顶部","不安全的鋼儲藏箱  [ddcdfa](168) - 櫃檯空心頂部"
cntSteelBevelBookCaseInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Cube Corner Beveled Bookcase Full",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Würfel – Ecke, abgeschrägt, Bücherregal – voll","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Esquina de cubo biselado de estantería llena","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Angle de cube, biseauté, bibliothèque pleine","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Angolo del cubo smussato con libreria piena","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - キューブ（コーナー・斜角・ブックケース・満タン）","강철 보관함 잠기지 않음  [ddcdfa](168) - 육면체 모서리 경사 책장 꽉 참","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Sześcian – róg, faseta, regał na książki, pełny","Caixote inseguro de deposito de aço  [ddcdfa](168) - Estante de livros cheia biselada de cubo de canto","Ненадежный стальной складской ящик  [ddcdfa](168) - Куб с полным книжным шкафом, срезанный угол","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Küp Köşe Pahlı Kitaplık, Dolu","不结实的钢储藏箱  [ddcdfa](168) - 方块 拐角 斜角 书架 完整","不安全的鋼儲藏箱  [ddcdfa](168) - 完整方塊角斜面書櫃"
cntSteelBookCaseInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Bookcase Full",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Bücherregal – voll","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Estantería llena","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Bibliothèque pleine","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Libreria piena","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - ブックケース（満タン）","강철 보관함 잠기지 않음  [ddcdfa](168) - 책장 꽉참","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Regał na książki – pełny","Caixote inseguro de deposito de aço  [ddcdfa](168) - Estante de livros cheia","Ненадежный стальной складской ящик  [ddcdfa](168) - Полный книжный шкаф","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Kitaplık Dolu","不结实的钢储藏箱  [ddcdfa](168) - 书架 完整","不安全的鋼儲藏箱  [ddcdfa](168) - 滿書櫃"
cntSteelMorticianDrawerInsecure,blocks,block,,,"Steel Storage Crate Insecure  [ddcdfa](168) - Mortician Drawer",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste, unsicher  [ddcdfa](168) - Leichenbestatter-Schublade","Embalaje de almacenamiento de acero no asegurado  [ddcdfa](168) - Cajón del funerario","Caisse de rangement en acier non sécurisée  [ddcdfa](168) - Tiroir croque-mort","Cassa di stoccaggio d'acciaio pericolante  [ddcdfa](168) - Cassetto del becchino","鉄鋼製ストレージ（鍵無し）  [ddcdfa](168) - 葬儀屋の引き出し","강철 보관함 잠기지 않음  [ddcdfa](168) - 장의사용 서랍","Skrzynia na towary – żelazna, niezabezpieczona  [ddcdfa](168) - Szuflada kostnicy","Caixote inseguro de deposito de aço  [ddcdfa](168) - Gaveta de agente funerário","Ненадежный стальной складской ящик  [ddcdfa](168) - Ящик гробовщика","Çelik Depolama Sandığı, Korumasız  [ddcdfa](168) - Morg Çekmecesi","不结实的钢储藏箱  [ddcdfa](168) - 殡葬业者抽屉","不安全的鋼儲藏箱  [ddcdfa](168) - 送葬者抽屜"
